sample,time_bin,replicate,PC1,PC2
GSM198866,0–3 days,3,6.4260335515199705,-23.82593906262238
GSM198867,0–3 days,1,16.748411080180762,-4.539441393004549
GSM198868,0–3 days,2,9.093378769819807,-7.994248944717239
GSM198869,4–7 days,3,23.787452809562218,14.007352422536558
GSM198870,4–7 days,1,18.17114095570719,7.679551944357464
GSM198871,4–7 days,2,9.040350039261936,8.048448252989106
GSM198872,>7 days,3,10.171345444045617,-14.095412073425779
GSM198873,>7 days,1,20.694233007011825,10.416603059813674
GSM198874,>7 days,2,6.815555006595659,2.5493471406809496
GSM198875,Normal,3,-37.75026325095153,-2.633660111499238
GSM198876,Normal,1,-41.801099825419264,6.588201083713603
GSM198877,Normal,2,-41.39653758733416,3.7991976811778403
