gene,p_value,fdr,mean_Normal,mean_0–3 days,mean_4–7 days,mean_>7 days,max_abs_log2fc_vs_normal
ORC6,9.12593449554549e-06,0.005272123507434273,7.402532983668841,7.938082025469448,8.008661196163626,7.824936708426943,0.6061282124947844
IL1B,1.0506603974491316e-05,0.005476041991504874,5.464451926688558,10.751721654683982,9.839759473681571,9.579063541756545,5.287269727995423
BUB1B,1.046731455220537e-05,0.005476041991504874,6.031910051664003,7.782108838847917,8.322288643390744,7.9069349033264755,2.290378591726741
SELL,1.2422515769219045e-05,0.0057871455148391,5.188645147128695,9.461151953146562,8.96324826866848,8.73726629958881,4.272506806017867
TRIP13,1.268491915383082e-05,0.0057871455148391,5.44179017716942,7.687303421426729,7.979042010027382,7.356979140655215,2.5372518328579625
DTL,1.2413516572321417e-05,0.0057871455148391,5.5546768583765855,6.855474353859331,7.287720923408166,6.697748807183941,1.7330440650315806
BID,1.2769027901122342e-05,0.0057871455148391,6.4303281827104,7.630399117731414,7.580682279874978,7.657281657898313,1.226953475187913
SRA1,1.2299422382087382e-05,0.0057871455148391,7.56058001223754,8.676507440290335,8.368505437766983,8.33650108583289,1.115927428052795
DMXL1,1.2418341496611939e-05,0.0057871455148391,7.779097267023605,6.790123879410455,7.257078312424852,6.817906906809,0.9889733876131501
CYP27B1,1.3416000178414314e-05,0.0059509951429698215,4.133785696814564,7.732644333556885,7.232847059628811,7.384278584524854,3.598858636742321
CPA3,1.4483690061306699e-05,0.00629074938329421,9.328866011105319,8.287065256545203,8.692806711373576,8.58542442183595,1.041800754560116
EIF1AY,1.5210858929792964e-05,0.006378568973657334,3.085978425483251,5.672433756667826,6.386764025288713,6.287743813416609,3.3007855998054616
FNDC1,1.5297795888472117e-05,0.006378568973657334,6.757348743988171,5.168261724723645,7.624618466474005,7.915992789638222,1.5890870192645261
MMP9,1.597616687869151e-05,0.006431143642141789,7.2424700864214016,10.37037887561655,9.968935469837012,10.881177412752832,3.6387073263314305
TMEM255A,1.6822646032137714e-05,0.006431143642141789,6.620528419294801,3.5164828363124894,3.5048135709401618,3.7896033831831986,3.115714848354639
C1QTNF7,1.6966274957684113e-05,0.006431143642141789,5.970380822088782,3.8927638659523485,3.664438780098685,3.83818028892238,2.3059420419900976
DKK2,1.627287621769916e-05,0.006431143642141789,5.47531798871163,4.00373045147841,3.7888773556640007,3.7872338144998867,1.6880841742117436
CDV3,1.6568824306801166e-05,0.006431143642141789,6.918521501093529,7.6895928896901475,7.5918203690613915,7.790964988827699,0.87244348773417
MCEMP1,1.7782903166619807e-05,0.00660006688337292,5.969844808224465,9.518541025762703,8.64310859701642,9.081740986293715,3.5486962175382377
RPL22L1,1.80450792571113e-05,0.00660006688337292,9.032065590695057,10.208187444096252,10.400369340813628,10.362995878715703,1.3683037501185709
SPAG5,1.8782274152656916e-05,0.006636827992111718,6.096658693255375,7.2877255590756365,7.519619543647903,7.239342964491794,1.4229608503925286
FLNC,1.8692696131031644e-05,0.006636827992111718,6.919575508292787,5.93835782927443,5.915305130166676,6.008350107688082,1.0042703781261109
PROK2,2.0143660045320863e-05,0.0067734681391104735,3.3792099581074666,9.756821278858812,8.801768315417844,8.42080806885941,6.377611320751345
SPINK6,1.9943835592626587e-05,0.0067734681391104735,3.9885626245307755,8.757030954437896,8.61101313702457,8.132539495407471,4.768468329907121
PLEK,1.981714914351779e-05,0.0067734681391104735,6.954928237838213,8.584850162036036,8.525163301055999,8.642725855338934,1.6877976175007214
FABP5,2.1167753507653658e-05,0.006793037685131794,10.960722145879254,12.499231471940659,12.793403151681021,12.78929762637928,1.832681005801767
MT1E,2.1179367303029864e-05,0.006793037685131794,9.841899977992464,11.369723604033856,11.127723747990814,11.076598756676859,1.5278236260413927
SEC61G,2.0858461271949008e-05,0.006793037685131794,9.26439754136493,10.172760818064283,10.25084756825787,10.002812032169881,0.986450026892939
PLAC8,2.2356366343011357e-05,0.007061901901804557,4.406842286089813,8.564675076237403,7.935695351464433,7.993250504336419,4.15783279014759
CXCL1,2.300483421313836e-05,0.007158280353365799,5.015566804038787,10.480695606851087,9.73617983239726,10.029078601897766,5.4651288028123
ANXA3,2.4164875795131726e-05,0.007301294646042119,6.058763731249518,9.380857416415296,9.53526479633045,9.083880796617791,3.4765010650809325
NDUFAF2,2.410523505131834e-05,0.007301294646042119,7.386744996550512,8.313608594951516,8.527586361068467,8.251257933532257,1.1408413645179554
ATL1,2.521880260575935e-05,0.007510879953212443,7.40229489957116,6.137614237448566,6.733614124318471,6.550673740567073,1.2646806621225943
C5AR1,2.5590323612310842e-05,0.007514184037597979,5.648420516863344,10.031231088791984,9.178074482411857,9.348252018144365,4.38281057192864
XG,3.075174015007495e-05,0.008782359981489898,7.802887835065589,6.086903442166357,6.018262975679384,5.699913152949693,2.102974682115896
FEN1,3.0716993496233776e-05,0.008782359981489898,6.551367168300788,8.026932330136058,8.09685132569209,7.665288855088339,1.545484157391301
KIAA0226L,3.170059693956163e-05,0.008896786311922714,5.628437156061743,8.118687289047706,8.130445382480609,7.687438316143293,2.502008226418866
CCNB1,3.24326438845993e-05,0.008896786311922714,6.133535984198036,8.462468117783695,8.563605206659119,7.957947711896012,2.430069222461083
CENPW,3.235103135448663e-05,0.008896786311922714,7.615746675982275,8.912133703467992,9.142057060079209,8.864231046484793,1.5263103840969334
TREM1,3.389123778552108e-05,0.00917616266691615,5.082319399312384,8.929241792083369,8.348805057438893,7.942510674749123,3.846922392770985
MCM10,3.477123293151365e-05,0.009228088442669665,3.9887330563662076,5.948882488407965,5.883199578606566,5.6767041560003015,1.9601494320417574
MXD1,3.49682936958415e-05,0.009228088442669665,7.42738896552418,9.186960068293752,8.97232556536928,8.796609916273974,1.7595711027695717
TK1,3.659516733684437e-05,0.009536700607981643,6.474601007266695,8.249865903502284,8.092271425006489,8.081781438709756,1.7752648962355897
C14orf132,3.772328559474812e-05,0.009709321704682824,8.941767083523805,6.716891435666934,6.749700327448093,6.819458061474005,2.224875647856871
SERPINB1,3.873003364047471e-05,0.009846874894348984,7.178104235341544,9.63207422200473,9.135528774181308,9.018973057430516,2.4539699866631866
PPBP,4.091994719324421e-05,0.010278301916683798,3.893558653798543,9.411396433692905,8.659304077388876,8.426530498789015,5.5178377798943625
ADAM12,4.644261885415236e-05,0.010524301281210527,4.206765730346105,5.842749362349989,7.53964107406075,8.048151823933075,3.84138609358697
PI3,4.63567692120871e-05,0.010524301281210527,8.988775798220734,12.713823833083131,12.727896772938896,12.572785988389043,3.739120974718162
KLK6,4.506667626869353e-05,0.010524301281210527,7.055350498410399,9.763674230618584,9.941127787527865,10.4932432265545,3.4378927281441003
FCGR3B,4.607192704814373e-05,0.010524301281210527,6.782560847518314,10.035775620247628,9.997242305735424,9.692415773530966,3.253214772729314
NDC80,4.4404118188916245e-05,0.010524301281210527,4.397716281360625,5.791419478946902,7.3886151134081635,6.67521152208572,2.990898832047538
S100A2,4.6422748852151774e-05,0.010524301281210527,11.349865186102825,13.483381781638107,13.422473835038781,13.269744849817387,2.1335165955352817
CCRL2,4.4594414857343106e-05,0.010524301281210527,4.744357603856256,6.342324136472748,6.525725282668624,6.589683724260223,1.8453261204039677
TIPIN,4.390784863310546e-05,0.010524301281210527,4.98589518276753,6.3787272562491415,6.620471913734303,5.836663176505513,1.6345767309667725
MND1,4.560567675917207e-05,0.010524301281210527,3.69879623490556,4.277118654354876,5.226918088714715,4.536118776394799,1.528121853809155
CH25H,4.725216355397828e-05,0.01059261404057354,5.940274674614017,8.466500998078063,8.737481149203203,8.803086685446416,2.8628120108324
KDM5D,5.10657166512794e-05,0.011037245799519754,3.9607439420684307,7.06948767251843,7.543594819582264,8.085133159401124,4.124389217332693
KRT77,5.0246793336005585e-05,0.011037245799519754,11.904334076174246,9.354339768444381,9.13139158646589,8.734761921261962,3.1695721549122844
PBK,5.0477509572564325e-05,0.011037245799519754,5.538165883466495,7.738618395424816,8.474244933243975,7.534303875420689,2.9360790497774802
GLIS3,5.2365436977867733e-05,0.011037245799519754,3.9053082129540617,5.089945571475828,5.506008792662449,5.751121562749836,1.8458133497957747
FBXO5,5.241209392519454e-05,0.011037245799519754,4.912424891459376,5.456198621788676,6.399747261084474,5.658407473488675,1.4873223696250975
CDKN1B,5.167008573023308e-05,0.011037245799519754,9.691807710093661,8.72170269843879,8.879656182099408,8.819324207590677,0.9701050116548711
COL15A1,5.332445000864579e-05,0.011092353539942998,9.696784041839317,10.952573311408031,11.080344919030344,11.34106632366039,1.6442822818210736
SPCS3,5.373789848111295e-05,0.011092353539942998,6.528144407642013,7.865351784928493,7.8091105174213995,7.767849461645871,1.3372073772864805
COL4A2,5.8418848093010935e-05,0.011416806930961447,8.255073349917803,9.859263352236532,10.153249961786338,10.817722618385089,2.562649268467286
EXPH5,5.6165297317164766e-05,0.011416806930961447,9.67434020663067,7.813553206560809,7.383373622264565,7.154032094926346,2.520308111704325
SPC25,5.859546918711027e-05,0.011416806930961447,3.7682979321105443,5.665594489607124,5.903863320850541,5.46678113219419,2.135565388739997
UHRF1,5.721967849799322e-05,0.011416806930961447,6.71883239542829,8.8490065662938,8.778468482973233,8.287227649109264,2.1301741708655104
STXBP6,5.846939603729112e-05,0.011416806930961447,6.0631334165766715,4.366721535055461,4.1013364860157395,4.08901101898255,1.9741223975941216
PGRMC2,5.76787263776945e-05,0.011416806930961447,9.46435023826468,8.063154527100926,8.187936017442551,8.153483828326378,1.401195711163755
DSC2,6.192278401636998e-05,0.011455419566586059,4.678708083795221,8.089943436875656,9.14661090919094,8.29536958831401,4.467902825395719
C10orf99,6.227767347628009e-05,0.011455419566586059,5.784527942426024,9.57954050120601,9.449930425289214,9.835004043737518,4.050476101311494
ZBTB20,6.108852043607929e-05,0.011455419566586059,8.553032505254741,6.935407482738566,7.144982732755342,7.124646095807623,1.617625022516175
LDHB,5.96230681478314e-05,0.011455419566586059,10.368892176307163,11.118346085388174,11.713476960603158,11.562852788730481,1.3445847842959946
NDC1,6.171462751275813e-05,0.011455419566586059,6.463292213660967,7.576514620656803,7.637907116788733,7.2249848884813686,1.1746149031277655
SLIRP,6.241701811230786e-05,0.011455419566586059,8.97015028012594,10.091394395165043,10.09250007020623,9.766007656540763,1.122349790080289
APOO,6.263995733839269e-05,0.011455419566586059,6.326789274776712,6.950712722798997,7.240427303835787,7.051984483264906,0.9136380290590749
CXCL13,6.368812751249843e-05,0.011545826803309282,3.443352858184655,5.21825122102653,9.13618227184263,9.839603159539914,6.396250301355259
NETO2,6.437403488336392e-05,0.011569567924554922,4.539103080339177,6.3835078419441444,6.805905118643565,7.1903244815267024,2.6512214011875255
MELK,6.690384197841813e-05,0.011831336103226642,6.66552882526873,8.635093841463032,8.886603482116241,8.583864390771598,2.2210746568475113
MT1G,6.69655439457379e-05,0.011831336103226642,6.556869878338603,8.212646227950621,7.903760209893896,7.869026435788622,1.6557763496120188
CENPN,6.761440931849625e-05,0.011845589961949662,4.880309168173587,5.840292967687294,6.200656614366861,5.8673264630222635,1.3203474461932743
CASP1,6.898532499127982e-05,0.011886000458001667,7.859386518627449,8.682212629218682,9.063105636017838,8.62397361886307,1.2037191173903885
H2AFZ,6.893702568281917e-05,0.011886000458001667,10.623306301222934,11.632276828382999,11.649880882529368,11.389332654603544,1.0265745813064342
CHN1,7.021629033314122e-05,0.011901375779392912,7.260521248917047,8.118077457981455,8.902958062594188,9.207671186878772,1.9471499379617248
GALNT7,7.005587670009795e-05,0.011901375779392912,5.2418058889158266,5.368592045718768,6.407998390438881,6.139225651322395,1.1661925015230548
PXDN,7.472923593648742e-05,0.01217152430315539,7.56519876955149,8.681525167796066,9.20464710460405,9.668861352829781,2.1036625832782914
OLFML2B,7.344747615986644e-05,0.01217152430315539,7.838606456752497,8.600772815698194,9.505694662232036,9.60752608829413,1.7689196315416327
MLKL,7.43509491866547e-05,0.01217152430315539,7.125734046675814,8.321702068633456,8.331789456168833,8.392740788862268,1.267006742186454
PAK3,7.449044482849012e-05,0.01217152430315539,4.310104551195031,3.1164063365611394,3.2545460570742732,3.2283923232268723,1.1936982146338915
CRBN,7.302599698890312e-05,0.01217152430315539,8.710997077018378,7.686780637404811,8.054373793998318,7.957741061189782,1.024216439613567
OSR2,7.784883482800661e-05,0.012237167985147478,9.245879509592934,6.414373254762045,5.881034474394117,6.188108033293671,3.364845035198816
S100A9,8.276288785043142e-05,0.012237167985147478,10.111074371965557,13.427718031875628,13.222058432180953,13.442736482596947,3.33166211063139
UBE2T,8.038147158117303e-05,0.012237167985147478,5.961588646258574,7.663126890775974,8.145878156422421,7.452572333469205,2.1842895101638478
NUSAP1,8.047325451380311e-05,0.012237167985147478,6.166734043138075,7.3138616929702955,8.013718306863073,7.42500246807015,1.8469842637249974
MYO5B,7.657643687147887e-05,0.012237167985147478,6.542729447760954,4.953752756996024,5.288460514444383,5.079681132977669,1.5889766907649303
SYT17,8.214476160112879e-05,0.012237167985147478,6.1438032590683465,4.994704227598979,4.584632513136722,4.996961471023355,1.5591707459316249
PROCR,7.81390905993789e-05,0.012237167985147478,6.9990408674988345,7.897718897463956,8.319435004822408,7.75511881928961,1.3203941373235732
TFF3,8.065547502242957e-05,0.012237167985147478,7.161542632087721,6.173758116370883,5.892316554056049,5.865142854048071,1.2963997780396497
MTHFD2,8.109740599742054e-05,0.012237167985147478,6.433338420503613,7.4284003518437745,7.285322054369742,7.114170246117375,0.9950619313401612
PUM3,7.872834067173546e-05,0.012237167985147478,5.443632608885571,5.911252868576523,6.210955242680421,5.865384317419082,0.7673226337948496
PGAM1,8.254783723487496e-05,0.012237167985147478,11.163001474066775,11.911699402323483,11.740008887665999,11.819332367440794,0.7486979282567088
PPA1,7.853309008092882e-05,0.012237167985147478,10.827664757760274,11.377782794609905,11.369247730744755,11.298679794045583,0.5501180368496303
NXPH3,7.944574464377528e-05,0.012237167985147478,6.344745953405156,6.100411447891578,5.875717260826309,6.047423851533701,0.4690286925788474
IL4R,8.501647480101013e-05,0.012376138903689885,7.166406052684063,9.020180774557742,8.666598696291343,8.777212604407534,1.8537747218736795
TNNC1,8.433400671938514e-05,0.012376138903689885,6.0606715341688435,4.322123496151431,4.329190509375046,4.229101033689827,1.8315705004790166
TIMM17B,8.548369158342975e-05,0.012376138903689885,5.948400693272586,6.1123168472906,5.755293397842682,5.907729667188295,0.193107295429904
PGM5-AS1,8.905237677067336e-05,0.012716191444623276,6.482822487754515,5.465673392859737,5.265607156530109,5.381595479380789,1.2172153312244056
MAD2L2,8.896133323065306e-05,0.012716191444623276,7.519622329935113,8.420847416271492,8.082723639160099,8.21861244795438,0.9012250863363791
ELOVL4,9.097677815044281e-05,0.012815431560002916,9.720452867192575,7.8870073695485345,8.33743569412094,8.032881527126532,1.8334454976440409
MYDGF,9.069155973425958e-05,0.012815431560002916,8.429150297036982,9.03297881784446,8.841040567324407,8.84760476566026,0.603828520807479
GJB2,9.655578064100415e-05,0.013419966098691031,9.779687940701729,12.083746766521037,12.246851924910368,12.204973593650566,2.4671639842086392
CPED1,9.648146189621024e-05,0.013419966098691031,6.335556671501024,5.496196213902757,5.663167361862352,5.628755944810645,0.8393604575982669
HPRT1,0.00010004916053799128,0.013813409926463856,5.620781270598658,6.1314188577510675,6.104887661609197,6.081704765361923,0.5106375871524094
P2RY14,0.00010282868170861209,0.013977471740796476,8.917616536009268,6.152268826134159,6.725933330726453,6.151608581692293,2.766007954316975
PRC1,0.00010270611802011205,0.013977471740796476,7.638373821760979,9.103040845883962,9.275520673751965,8.771937708787249,1.6371468519909858
MRPS7,0.00010324878396405686,0.013977471740796476,7.6251483971372105,8.562886583624048,8.400794483855373,8.40968222236236,0.937738186486837
CCL27,0.00010775323765919224,0.014400253196915638,9.594105011110342,7.713565980898978,6.037399157478034,6.396895110819255,3.556705853632308
DYSF,0.00010759140491219041,0.014400253196915638,6.945680990632309,8.772934962768991,8.302876297512894,8.82451272078623,1.8788317301539204
ZG16B,0.00011426679372824129,0.014611142231803964,8.65275966730705,6.411049032482539,6.112575072913675,6.516764797215413,2.5401845943933754
TYMS,0.00011005189620633617,0.014611142231803964,5.8077979322424795,7.436657952949631,8.231179011150639,7.447933577737152,2.423381078908159
KIF20A,0.00011587108870436334,0.014611142231803964,5.809282257564742,7.677333302813262,8.190113839362928,7.6351307441337175,2.380831581798186
NR3C2,0.00011537138558528449,0.014611142231803964,6.366331065925444,4.12472221350998,4.202333953187986,4.189055779203034,2.2416088524154647
PSAPL1,0.00011485131483396729,0.014611142231803964,10.648468519375923,8.799014247171026,8.581076011044052,9.13006697265463,2.0673925083318707
NAP1L3,0.00011601847166293385,0.014611142231803964,6.108539785146668,4.37280325074986,5.001876920319439,4.674018939512964,1.7357365343968079
GALNT14,0.00011361152523622724,0.014611142231803964,5.479999378142686,7.160685828530549,6.666803250918339,7.127523063669055,1.6806864503878627
PPIL1,0.0001163396781695826,0.014611142231803964,7.088495891662849,8.427670188284774,8.335009581694662,8.25610324957035,1.3391742966219242
SNRNP25,0.00011211116803617094,0.014611142231803964,7.68031354873568,8.757772596726044,8.552691876546168,8.652164149052615,1.0774590479903638
TMEM245,0.00011094598292977917,0.014611142231803964,8.446797328933142,7.753852613345141,7.968117020505654,7.763390645265357,0.6929447155880011
AKR1B10,0.00011792967567938571,0.014620187336759913,6.221439135091262,10.137735055442853,10.073813248444768,10.438543124750739,4.217103989659477
PDPN,0.00011739420629628777,0.014620187336759913,5.416790820665869,7.574446975432807,8.14983867319394,7.519995752147992,2.7330478525280713
TLR2,0.00011851552474637497,0.014620187336759913,6.453613652516174,9.126274601140373,9.072382568258378,9.062855133899324,2.6726609486241992
