repetition,seed,fold,model,n_test,mae_days,selected_alpha
8,20260824,4,combined,9,4.0351251888796655,17.78279410038923
9,20260825,0,median,10,2.9,
9,20260825,0,covariates,10,4.021444212006695,5.623413251903491
9,20260825,0,panel,10,3.7265280692450817,17.78279410038923
9,20260825,0,combined,10,3.626391624907228,56.23413251903491
9,20260825,1,median,10,4.3,
9,20260825,1,covariates,10,5.860553477588352,10.0
9,20260825,1,panel,10,2.240356223224086,56.23413251903491
9,20260825,1,combined,10,2.6153762867659096,56.23413251903491
9,20260825,2,median,10,3.9,
9,20260825,2,covariates,10,5.1881325543370735,17.78279410038923
9,20260825,2,panel,10,1.3669029810168893,17.78279410038923
9,20260825,2,combined,10,2.524613191066452,17.78279410038923
9,20260825,3,median,10,5.6,
9,20260825,3,covariates,10,5.516714742059678,1000.0
9,20260825,3,panel,10,3.926523269729505,17.78279410038923
9,20260825,3,combined,10,5.28578356611912,1.7782794100389228
9,20260825,4,median,9,4.555555555555555,
9,20260825,4,covariates,9,4.62906949643746,1000.0
9,20260825,4,panel,9,3.2697597943804126,10.0
9,20260825,4,combined,9,3.016138908490715,31.622776601683793
10,20260826,0,median,10,4.9,
10,20260826,0,covariates,10,4.989534297455375,1000.0
10,20260826,0,panel,10,4.12281259592684,56.23413251903491
10,20260826,0,combined,10,4.440103106129722,31.622776601683793
10,20260826,1,median,11,5.2727272727272725,
10,20260826,1,covariates,11,4.813319748915436,56.23413251903491
10,20260826,1,panel,11,3.6259277390963685,1.7782794100389228
10,20260826,1,combined,11,3.3819757050755737,56.23413251903491
10,20260826,2,median,10,4.6,
10,20260826,2,covariates,10,4.712912520197438,177.82794100389228
10,20260826,2,panel,10,2.277299011573054,56.23413251903491
10,20260826,2,combined,10,2.558472011751189,56.23413251903491
10,20260826,3,median,10,4.8,
10,20260826,3,covariates,10,4.9424418329514275,1000.0
10,20260826,3,panel,10,1.5655628619323632,10.0
10,20260826,3,combined,10,2.1689234319388233,56.23413251903491
10,20260826,4,median,8,3.25,
10,20260826,4,covariates,8,3.825120782171901,31.622776601683793
10,20260826,4,panel,8,2.4217682633714035,56.23413251903491
10,20260826,4,combined,8,2.8882949426808624,31.622776601683793
11,20260827,0,median,9,4.777777777777778,
11,20260827,0,covariates,9,5.781729936121061,31.622776601683793
11,20260827,0,panel,9,3.4769811397313384,17.78279410038923
11,20260827,0,combined,9,4.136146576799149,3.1622776601683795
11,20260827,1,median,10,4.4,
11,20260827,1,covariates,10,4.239634121224354,1000.0
11,20260827,1,panel,10,2.5711171572246605,56.23413251903491
11,20260827,1,combined,10,2.3642092822658762,56.23413251903491
11,20260827,2,median,11,4.363636363636363,
11,20260827,2,covariates,11,6.246099507879365,5.623413251903491
11,20260827,2,panel,11,3.0642608415666928,10.0
11,20260827,2,combined,11,3.9577109270742343,5.623413251903491
11,20260827,3,median,9,2.4444444444444446,
11,20260827,3,covariates,9,3.674370549730873,56.23413251903491
11,20260827,3,panel,9,1.9839969408608467,17.78279410038923
11,20260827,3,combined,9,2.2230524091880777,56.23413251903491
11,20260827,4,median,10,4.3,
11,20260827,4,covariates,10,3.8901301081817605,31.622776601683793
