repetition,seed,fold,model,n_test,mae_days,selected_alpha
8,20260824,1,panel,9,2.429255275305062,1.0
8,20260824,2,median,9,4.555555555555555,
8,20260824,2,panel,9,3.5091896302568335,31.622776601683793
8,20260824,3,median,13,2.1538461538461537,
8,20260824,3,panel,13,1.6619684643783723,31.622776601683793
8,20260824,4,median,10,2.7,
8,20260824,4,panel,10,3.6733189656614877,31.622776601683793
9,20260825,0,median,11,4.2727272727272725,
9,20260825,0,panel,11,3.100159730605594,31.622776601683793
9,20260825,1,median,10,2.5,
9,20260825,1,panel,10,2.371531708081504,56.23413251903491
9,20260825,2,median,10,3.0,
9,20260825,2,panel,10,2.279191796733059,31.622776601683793
9,20260825,3,median,9,5.666666666666667,
9,20260825,3,panel,9,4.027579911784081,17.78279410038923
9,20260825,4,median,10,5.8,
9,20260825,4,panel,10,3.654149782089116,31.622776601683793
10,20260826,0,median,10,5.6,
10,20260826,0,panel,10,2.218323432857133,56.23413251903491
10,20260826,1,median,12,3.8333333333333335,
10,20260826,1,panel,12,3.507671020889859,0.31622776601683794
10,20260826,2,median,9,5.888888888888889,
10,20260826,2,panel,9,3.9787650850852763,31.622776601683793
10,20260826,3,median,10,3.7,
10,20260826,3,panel,10,2.293238487483961,31.622776601683793
10,20260826,4,median,9,4.111111111111111,
10,20260826,4,panel,9,3.245969919953831,56.23413251903491
11,20260827,0,median,9,4.0,
11,20260827,0,panel,9,3.7496024034993507,17.78279410038923
11,20260827,1,median,8,5.875,
11,20260827,1,panel,8,3.4009339816673045,56.23413251903491
11,20260827,2,median,12,5.0,
11,20260827,2,panel,12,2.6156304999068705,31.622776601683793
11,20260827,3,median,10,2.3,
11,20260827,3,panel,10,2.6732311276051623,31.622776601683793
11,20260827,4,median,11,4.090909090909091,
11,20260827,4,panel,11,3.0320998703592115,56.23413251903491
12,20260828,0,median,10,4.6,
12,20260828,0,panel,10,2.218508344264727,3.1622776601683795
12,20260828,1,median,11,4.2727272727272725,
12,20260828,1,panel,11,3.648245739277331,1.7782794100389228
12,20260828,2,median,10,3.5,
12,20260828,2,panel,10,2.453895101828853,31.622776601683793
12,20260828,3,median,9,5.444444444444445,
12,20260828,3,panel,9,3.446300526248221,56.23413251903491
12,20260828,4,median,10,5.7,
12,20260828,4,panel,10,4.5810823217680365,1.7782794100389228
13,20260829,0,median,9,3.7777777777777777,
13,20260829,0,panel,9,2.8412272270063283,31.622776601683793
13,20260829,1,median,8,3.5,
13,20260829,1,panel,8,2.874836223083584,31.622776601683793
13,20260829,2,median,10,7.2,
13,20260829,2,panel,10,4.024486623643938,31.622776601683793
13,20260829,3,median,9,3.5555555555555554,
13,20260829,3,panel,9,3.5303003913985833,31.622776601683793
13,20260829,4,median,14,3.2142857142857144,
13,20260829,4,panel,14,2.408256830205128,31.622776601683793
14,20260830,0,median,11,5.0,
14,20260830,0,panel,11,1.5428918804854677,56.23413251903491
14,20260830,1,median,10,2.7,
14,20260830,1,panel,10,3.801430668441186,31.622776601683793
14,20260830,2,median,11,6.363636363636363,
14,20260830,2,panel,11,5.375395570065485,5.623413251903491
14,20260830,3,median,9,3.2222222222222223,
14,20260830,3,panel,9,2.8038069264607395,31.622776601683793
14,20260830,4,median,9,4.333333333333333,
14,20260830,4,panel,9,2.3929647507839786,5.623413251903491
15,20260831,0,median,10,4.4,
15,20260831,0,panel,10,1.678492413004242,56.23413251903491
15,20260831,1,median,11,5.7272727272727275,
15,20260831,1,panel,11,4.473179491504786,1.7782794100389228
15,20260831,2,median,8,4.0,
15,20260831,2,panel,8,3.6658523187104164,56.23413251903491
15,20260831,3,median,10,4.5,
15,20260831,3,panel,10,2.53925228697903,56.23413251903491
15,20260831,4,median,11,3.3636363636363638,
15,20260831,4,panel,11,3.501789195171533,1.0
16,20260832,0,median,13,4.538461538461538,
16,20260832,0,panel,13,2.966349641086241,31.622776601683793
16,20260832,1,median,10,5.0,
16,20260832,1,panel,10,2.86008528782786,31.622776601683793
16,20260832,2,median,8,5.25,
16,20260832,2,panel,8,4.327404706731423,56.23413251903491
16,20260832,3,median,9,3.4444444444444446,
16,20260832,3,panel,9,2.410613277399609,5.623413251903491
16,20260832,4,median,10,3.8,
16,20260832,4,panel,10,2.200130773738305,56.23413251903491
17,20260833,0,median,10,3.9,
17,20260833,0,panel,10,3.047911697430821,10.0
17,20260833,1,median,11,3.8181818181818183,
17,20260833,1,panel,11,3.5783400326652566,10.0
17,20260833,2,median,10,4.3,
17,20260833,2,panel,10,3.943048839266615,31.622776601683793
17,20260833,3,median,9,6.777777777777778,
17,20260833,3,panel,9,2.534342655303663,31.622776601683793
17,20260833,4,median,10,2.6,
17,20260833,4,panel,10,2.3414668969221326,5.623413251903491
18,20260834,0,median,9,5.111111111111111,
18,20260834,0,panel,9,3.6411681698430494,31.622776601683793
18,20260834,1,median,8,5.375,
18,20260834,1,panel,8,3.3157184004446623,5.623413251903491
18,20260834,2,median,12,3.1666666666666665,
18,20260834,2,panel,12,1.9100016835173939,56.23413251903491
18,20260834,3,median,12,3.9166666666666665,
